t_step, px, py, pz, u, v, w, e0, e1, e2, e3, p, q, r
0, 0.02499957673, 0, -99.99999509, 24.99915346, 0, 0.009815945705, 1, 0, 1.189167822e-07, 0, 0, 0.000475667129, 0
30, 0.7745932492, 0, -99.99528753, 24.97369166, 0, 0.3094210861, 0.9999999941, 0, 0.0001087325841, 0, 0, 0.01366843466, 0
60, 1.523425094, 0, -99.98175771, 24.9478776, 0, 0.6179649103, 0.9999999197, 0, 0.0004007691316, 0, 0, 0.02498020406, 0
90, 2.271495153, 0, -99.95941108, 24.92142035, 0, 0.9341540988, 0.9999996387, 0, 0.0008500764237, 0, 0, 0.03467916424, 0
120, 3.01880345, 0, -99.92825205, 24.89407776, 0, 1.25687989, 0.9999989715, 0, 0.001434230887, 0, 0, 0.04299526628, 0
150, 3.765349989, 0, -99.88828407, 24.86564953, 0, 1.585191373, 0.999997723, 0, 0.002134005802, 0, 0, 0.0501256753, 0
180, 4.51113476, 0, -99.8395098, 24.83597106, 0, 1.918272715, 0.999995699, 0, 0.002932915413, 0, 0, 0.05623944502, 0
210, 5.256157735, 0, -99.78193122, 24.80490795, 0, 2.255423729, 0.9999927159, 0, 0.003816824068, 0, 0, 0.0614815258, 0
240, 6.000418875, 0, -99.71554973, 24.77235118, 0, 2.596043269, 0.9999886063, 0, 0.0047736111, 0, 0, 0.06597620131, 0
270, 6.743918127, 0, -99.64036622, 24.73821292, 0, 2.939615033, 0.9999832211, 0, 0.005792883508, 0, 0, 0.06983003506, 0
300, 7.486655434, 0, -99.55638114, 24.70242299, 0, 3.285695426, 0.9999764306, 0, 0.006865729618, 0, 0, 0.07313439699, 0
330, 8.228630729, 0, -99.46359459, 24.66492579, 0, 3.633903157, 0.9999681233, 0, 0.007984507875, 0, 0, 0.07596762967, 0
360, 8.969843941, 0, -99.36200635, 24.62567769, 0, 3.983910346, 0.999958205, 0, 0.009142665759, 0, 0, 0.07839690576, 0
390, 9.710294996, 0, -99.25161592, 24.58464488, 0, 4.335434891, 0.9999465968, 0, 0.01033458451, 0, 0, 0.08047982058, 0
420, 10.44998382, 0, -99.13242256, 24.54180153, 0, 4.688233941, 0.9999332336, 0, 0.01155544603, 0, 0, 0.08226575762, 0
450, 11.18891034, 0, -99.00442536, 24.49712826, 0, 5.042098293, 0.9999180623, 0, 0.01280111869, 0, 0, 0.08379705936, 0
480, 11.92707447, 0, -98.86762322, 24.45061091, 0, 5.396847589, 0.99990104, 0, 0.01406805951, 0, 0, 0.08511003119, 0
510, 12.66447616, 0, -98.72201488, 24.40223945, 0, 5.752326206, 0.9998821322, 0, 0.01535323023, 0, 0, 0.08623580215, 0
540, 13.40111532, 0, -98.56759897, 24.35200714, 0, 6.108399721, 0.9998613121, 0, 0.01665402534, 0, 0, 0.08720106297, 0
570, 14.1369919, 0, -98.40437401, 24.29990987, 0, 6.464951893, 0.9998385587, 0, 0.0179682104, 0, 0, 0.08802869885, 0
600, 14.87210583, 0, -98.23233843, 24.24594549, 0, 6.821882059, 0.999813856, 0, 0.01929386914, 0, 0, 0.08873833207, 0
630, 15.60645705, 0, -98.05149058, 24.19011345, 0, 7.179102918, 0.9997871921, 0, 0.0206293581, 0, 0, 0.08934678723, 0
660, 16.34004552, 0, -97.86182874, 24.13241435, 0, 7.536538618, 0.9997585586, 0, 0.02197326774, 0, 0, 0.08986849008, 0
690, 17.07287117, 0, -97.66335112, 24.07284968, 0, 7.894123123, 0.9997279494, 0, 0.02332438909, 0, 0, 0.09031580959, 0
720, 17.80493399, 0, -97.4560559, 24.01142157, 0, 8.251798807, 0.9996953608, 0, 0.02468168516, 0, 0, 0.09069935119, 0
750, 18.53623391, 0, -97.2399412, 23.94813258, 0, 8.609515257, 0.9996607906, 0, 0.02604426642, 0, 0, 0.09102820821, 0
780, 19.26677093, 0, -97.01500512, 23.8829856, 0, 8.967228237, 0.9996242378, 0, 0.02741136977, 0, 0, 0.09131017745, 0
810, 19.996545, 0, -96.78124572, 23.81598368, 0, 9.324898806, 0.9995857026, 0, 0.02878234052, 0, 0, 0.0915519441, 0
840, 20.72555612, 0, -96.53866102, 23.74712999, 0, 9.682492561, 0.9995451858, 0, 0.03015661696, 0, 0, 0.09175924014, 0
870, 21.45380427, 0, -96.28724904, 23.67642771, 0, 10.03997899, 0.9995026887, 0, 0.03153371706, 0, 0, 0.09193698033, 0
900, 22.18128943, 0, -96.02700777, 23.60388001, 0, 10.3973309, 0.999458213, 0, 0.03291322713, 0, 0, 0.09208937868, 0
930, 22.90801163, 0, -95.75793517, 23.52949001, 0, 10.75452396, 0.9994117606, 0, 0.0342947921, 0, 0, 0.09222004839, 0
960, 23.63397084, 0, -95.48002921, 23.45326076, 0, 11.1115363, 0.9993633337, 0, 0.03567810711, 0, 0, 0.09233208747, 0
990, 24.3591671, 0, -95.19328783, 23.37519519, 0, 11.46834811, 0.9993129343, 0, 0.03706291042, 0, 0, 0.09242815225, 0
1020, 25.08360041, 0, -94.89770897, 23.29529615, 0, 11.82494141, 0.9992605647, 0, 0.03844897718, 0, 0, 0.0925105203, 0
1050, 25.8072708, 0, -94.59329055, 23.21356639, 0, 12.18129974, 0.999206227, 0, 0.03983611425, 0, 0, 0.09258114448, 0
1080, 26.5301783, 0, -94.28003048, 23.13000852, 0, 12.53740794, 0.9991499232, 0, 0.04122415562, 0, 0, 0.09264169921, 0
1110, 27.25232294, 0, -93.95792669, 23.04462507, 0, 12.89325202, 0.9990916553, 0, 0.04261295858, 0, 0, 0.09269362017, 0
1140, 27.97370477, 0, -93.62697707, 22.95741847, 0, 13.24881891, 0.9990314253, 0, 0.04400240038, 0, 0, 0.09273813835, 0
1170, 28.69432383, 0, -93.28717953, 22.86839103, 0, 13.60409641, 0.9989692349, 0, 0.04539237538, 0, 0, 0.09277630921, 0
1200, 29.41418018, 0, -92.93853195, 22.77754501, 0, 13.959073, 0.9989050857, 0, 0.04678279263, 0, 0, 0.09280903775, 0
1230, 30.13327388, 0, -92.58103224, 22.68488256, 0, 14.31373778, 0.9988389794, 0, 0.04817357375, 0, 0, 0.09283709992, 0
1260, 30.85160499, 0, -92.21467829, 22.59040576, 0, 14.66808036, 0.9987709174, 0, 0.04956465115, 0, 0, 0.09286116104, 0
1290, 31.56917359, 0, -91.83946797, 22.49411664, 0, 15.02209082, 0.9987009009, 0, 0.05095596651, 0, 0, 0.09288179158, 0
1320, 32.28597976, 0, -91.45539919, 22.39601716, 0, 15.3757596, 0.9986289313, 0, 0.05234746942, 0, 0, 0.09289948065, 0
1350, 33.00202357, 0, -91.06246981, 22.29610922, 0, 15.72907747, 0.9985550097, 0, 0.05373911627, 0, 0, 0.09291464766, 0
1380, 33.71730513, 0, -90.66067772, 22.1943947, 0, 16.08203549, 0.9984791371, 0, 0.05513086931, 0, 0, 0.09292765218, 0
1410, 34.43182451, 0, -90.25002081, 22.09087542, 0, 16.43462496, 0.9984013145, 0, 0.05652269576, 0, 0, 0.09293880254, 0
1440, 35.14558184, 0, -89.83049695, 21.98555319, 0, 16.78683739, 0.9983215428, 0, 0.05791456714, 0, 0, 0.09294836311, 0
1470, 35.85857721, 0, -89.40210402, 21.87842976, 0, 17.13866445, 0.9982398229, 0, 0.05930645864, 0, 0, 0.09295656055, 0
1500, 36.57081074, 0, -88.9648399, 21.76950689, 0, 17.49009799, 0.9981561554, 0, 0.06069834861, 0, 0, 0.09296358922, 0
1530, 37.28228255, 0, -88.51870246, 21.65878633, 0, 17.84112997, 0.998070541, 0, 0.0620902181, 0, 0, 0.09296961575, 0
1560, 37.99299277, 0, -88.0636896, 21.54626978, 0, 18.19175247, 0.9979829805, 0, 0.06348205046, 0, 0, 0.09297478303, 0
1590, 38.70294153, 0, -87.59979918, 21.43195896, 0, 18.54195767, 0.9978934743, 0, 0.06487383105, 0, 0, 0.09297921357, 0
1620, 39.41212896, 0, -87.12702908, 21.3158556, 0, 18.89173784, 0.9978020231, 0, 0.06626554691, 0, 0, 0.09298301242, 0
1650, 40.12055521, 0, -86.64537717, 21.19796139, 0, 19.2410853, 0.9977086274, 0, 0.06765718657, 0, 0, 0.09298626963, 0
1680, 40.82822044, 0, -86.15484134, 21.07827806, 0, 19.58999247, 0.9976132876, 0, 0.06904873979, 0, 0, 0.09298906244, 0
1710, 41.53512479, 0, -85.65541947, 20.95680731, 0, 19.93845179, 0.9975160042, 0, 0.07044019741, 0, 0, 0.09299145705, 0
1740, 42.24126843, 0, -85.14710943, 20.83355088, 0, 20.28645576, 0.9974167776, 0, 0.07183155119, 0, 0, 0.09299351024, 0
1770, 42.94665153, 0, -84.62990909, 20.70851051, 0, 20.63399692, 0.9973156083, 0, 0.07322279367, 0, 0, 0.0929952707, 0
1800, 43.65127425, 0, -84.10381634, 20.58168793, 0, 20.98106786, 0.9972124965, 0, 0.07461391808, 0, 0, 0.09299678015, 0
1830, 44.35513679, 0, -83.56882906, 20.45308491, 0, 21.32766119, 0.9971074428, 0, 0.07600491823, 0, 0, 0.09299807439, 0
1860, 45.05823932, 0, -83.02494512, 20.32270322, 0, 21.67376954, 0.9970004473, 0, 0.07739578842, 0, 0, 0.0929991841, 0
1890, 45.76058204, 0, -82.47216241, 20.19054466, 0, 22.01938558, 0.9968915105, 0, 0.07878652338, 0, 0, 0.09300013558, 0
1920, 46.46216515, 0, -81.9104788, 20.05661103, 0, 22.364502, 0.9967806327, 0, 0.08017711821, 0, 0, 0.09300095141, 0
1950, 47.16298884, 0, -81.33989217, 19.92090416, 0, 22.7091115, 0.9966678142, 0, 0.08156756831, 0, 0, 0.09300165092, 0
1980, 47.86305334, 0, -80.76040041, 19.7834259, 0, 23.05320681, 0.9965530552, 0, 0.08295786937, 0, 0, 0.09300225069, 0
2010, 48.56235884, 0, -80.17200139, 19.64417811, 0, 23.39678067, 0.9964363562, 0, 0.0843480173, 0, 0, 0.09300276495, 0
2040, 49.26090558, 0, -79.574693, 19.50316268, 0, 23.73982583, 0.9963177174, 0, 0.08573800819, 0, 0, 0.09300320589, 0
2070, 49.95869378, 0, -78.96847312, 19.36038151, 0, 24.08233507, 0.996197139, 0, 0.08712783833, 0, 0, 0.09300358395, 0
2100, 50.65572368, 0, -78.35333963, 19.21583655, 0, 24.42430116, 0.9960746214, 0, 0.08851750415, 0, 0, 0.09300390812, 0
2130, 51.35199551, 0, -77.72929042, 19.06952973, 0, 24.76571691, 0.9959501649, 0, 0.08990700218, 0, 0, 0.09300418607, 0
2160, 52.04750952, 0, -77.09632337, 18.92146304, 0, 25.10657511, 0.9958237697, 0, 0.09129632908, 0, 0, 0.09300442438, 0
2190, 52.74226596, 0, -76.45443637, 18.77163847, 0, 25.44686859, 0.9956954361, 0, 0.0926854816, 0, 0, 0.09300462872, 0
2220, 53.43626508, 0, -75.80362729, 18.62005806, 0, 25.78659017, 0.9955651644, 0, 0.09407445657, 0, 0, 0.09300480392, 0
2250, 54.12950716, 0, -75.14389404, 18.46672384, 0, 26.12573268, 0.9954329549, 0, 0.09546325087, 0, 0, 0.09300495415, 0
2280, 54.82199245, 0, -74.47523449, 18.31163789, 0, 26.46428898, 0.9952988079, 0, 0.09685186145, 0, 0, 0.09300508295, 0
2310, 55.51372123, 0, -73.79764653, 18.15480231, 0, 26.8022519, 0.9951627235, 0, 0.09824028532, 0, 0, 0.09300519339, 0
2340, 56.20469379, 0, -73.11112805, 17.9962192, 0, 27.13961433, 0.9950247023, 0, 0.09962851952, 0, 0, 0.09300528809, 0
2370, 56.8949104, 0, -72.41567694, 17.83589073, 0, 27.47636913, 0.9948847443, 0, 0.1010165611, 0, 0, 0.09300536928, 0
2400, 57.58437136, 0, -71.71129109, 17.67381906, 0, 27.81250919, 0.9947428499, 0, 0.1024044072, 0, 0, 0.0930054389, 0
2430, 58.27307697, 0, -70.99796839, 17.51000639, 0, 28.14802738, 0.9945990194, 0, 0.103792055, 0, 0, 0.09300549859, 0
2460, 58.96102754, 0, -70.27570674, 17.34445493, 0, 28.48291661, 0.994453253, 0, 0.1051795016, 0, 0, 0.09300554977, 0
2490, 59.64822336, 0, -69.54450402, 17.17716694, 0, 28.81716979, 0.9943055511, 0, 0.1065667442, 0, 0, 0.09300559365, 0
2520, 60.33466477, 0, -68.80435813, 17.00814468, 0, 29.15077983, 0.994155914, 0, 0.10795378, 0, 0, 0.09300563128, 0
2550, 61.02035207, 0, -68.05526696, 16.83739045, 0, 29.48373964, 0.994004342, 0, 0.1093406063, 0, 0, 0.09300566354, 0
2580, 61.7052856, 0, -67.29722842, 16.66490658, 0, 29.81604217, 0.9938508352, 0, 0.1107272201, 0, 0, 0.0930056912, 0
2610, 62.38946568, 0, -66.53024038, 16.49069541, 0, 30.14768036, 0.9936953942, 0, 0.1121136189, 0, 0, 0.09300571492, 0
2640, 63.07289267, 0, -65.75430076, 16.31475931, 0, 30.47864714, 0.9935380191, 0, 0.1134997997, 0, 0, 0.09300573525, 0
2670, 63.7555669, 0, -64.96940745, 16.13710069, 0, 30.80893547, 0.9933787103, 0, 0.11488576, 0, 0, 0.09300575269, 0
2700, 64.43748872, 0, -64.17555835, 15.95772197, 0, 31.13853833, 0.9932174681, 0, 0.1162714969, 0, 0, 0.09300576764, 0
2730, 65.1186585, 0, -63.37275135, 15.77662559, 0, 31.46744867, 0.9930542929, 0, 0.1176570077, 0, 0, 0.09300578046, 0
2760, 65.79907659, 0, -62.56098437, 15.59381404, 0, 31.79565949, 0.9928891848, 0, 0.1190422896, 0, 0, 0.09300579145, 0
2790, 66.47874336, 0, -61.74025529, 15.40928982, 0, 32.12316378, 0.9927221443, 0, 0.1204273401, 0, 0, 0.09300580088, 0
2820, 67.15765919, 0, -60.91056204, 15.22305544, 0, 32.44995452, 0.9925531717, 0, 0.1218121563, 0, 0, 0.09300580896, 0
2850, 67.83582445, 0, -60.0719025, 15.03511348, 0, 32.77602474, 0.9923822673, 0, 0.1231967355, 0, 0, 0.09300581589, 0
2880, 68.51323954, 0, -59.22427459, 14.84546649, 0, 33.10136744, 0.9922094314, 0, 0.124581075, 0, 0, 0.09300582183, 0
2910, 69.18990484, 0, -58.3676762, 14.65411709, 0, 33.42597565, 0.9920346644, 0, 0.1259651722, 0, 0, 0.09300582692, 0
2940, 69.86582075, 0, -57.50210526, 14.46106791, 0, 33.74984241, 0.9918579667, 0, 0.1273490243, 0, 0, 0.09300583129, 0
2970, 70.54098768, 0, -56.62755966, 14.2663216, 0, 34.07296075, 0.9916793385, 0, 0.1287326285, 0, 0, 0.09300583503, 0
3000, 71.21540603, 0, -55.74403732, 14.06988083, 0, 34.39532373, 0.9914987802, 0, 0.1301159823, 0, 0, 0.09300583824, 0
3030, 71.88907623, 0, -54.85153614, 13.87174833, 0, 34.71692441, 0.9913162922, 0, 0.1314990829, 0, 0, 0.09300584099, 0
3060, 72.56199868, 0, -53.95005404, 13.67192681, 0, 35.03775587, 0.9911318748, 0, 0.1328819276, 0, 0, 0.09300584336, 0
3090, 73.23417382, 0, -53.03958894, 13.47041903, 0, 35.35781118, 0.9909455285, 0, 0.1342645137, 0, 0, 0.09300584538, 0
3120, 73.90560208, 0, -52.12013874, 13.26722778, 0, 35.67708342, 0.9907572534, 0, 0.1356468385, 0, 0, 0.09300584711, 0
3150, 74.5762839, 0, -51.19170136, 13.06235587, 0, 35.99556571, 0.9905670501, 0, 0.1370288993, 0, 0, 0.0930058486, 0
3180, 75.24621973, 0, -50.25427472, 12.85580612, 0, 36.31325114, 0.9903749189, 0, 0.1384106935, 0, 0, 0.09300584988, 0
3210, 75.91541, 0, -49.30785674, 12.64758139, 0, 36.63013284, 0.9901808601, 0, 0.1397922182, 0, 0, 0.09300585097, 0
3240, 76.58385519, 0, -48.35244534, 12.43768457, 0, 36.94620394, 0.9899848742, 0, 0.141173471, 0, 0, 0.09300585191, 0
3270, 77.25155574, 0, -47.38803843, 12.22611857, 0, 37.26145757, 0.9897869615, 0, 0.1425544489, 0, 0, 0.09300585271, 0
3300, 77.91851214, 0, -46.41463394, 12.01288632, 0, 37.57588687, 0.9895871224, 0, 0.1439351495, 0, 0, 0.0930058534, 0
3330, 78.58472484, 0, -45.43222979, 11.79799077, 0, 37.88948502, 0.9893853573, 0, 0.1453155699, 0, 0, 0.09300585399, 0
3360, 79.25019434, 0, -44.44082391, 11.58143492, 0, 38.20224517, 0.9891816665, 0, 0.1466957075, 0, 0, 0.0930058545, 0
3390, 79.91492111, 0, -43.44041421, 11.36322178, 0, 38.5141605, 0.9889760506, 0, 0.1480755596, 0, 0, 0.09300585494, 0
3420, 80.57890564, 0, -42.43099864, 11.14335437, 0, 38.8252242, 0.9887685098, 0, 0.1494551235, 0, 0, 0.09300585531, 0
3450, 81.24214844, 0, -41.41257512, 10.92183576, 0, 39.13542948, 0.9885590447, 0, 0.1508343965, 0, 0, 0.09300585563, 0
3480, 81.90465, 0, -40.38514157, 10.69866903, 0, 39.44476954, 0.9883476555, 0, 0.152213376, 0, 0, 0.0930058559, 0
3510, 82.56641084, 0, -39.34869593, 10.47385729, 0, 39.75323759, 0.9881343428, 0, 0.1535920592, 0, 0, 0.09300585614, 0
3540, 83.22743146, 0, -38.30323614, 10.24740368, 0, 40.06082688, 0.9879191068, 0, 0.1549704435, 0, 0, 0.09300585634, 0
3570, 83.88771239, 0, -37.24876012, 10.01931136, 0, 40.36753064, 0.9877019481, 0, 0.1563485262, 0, 0, 0.09300585651, 0
3600, 84.54725415, 0, -36.18526581, 9.789583503, 0, 40.67334212, 0.9874828671, 0, 0.1577263046, 0, 0, 0.09300585666, 0
3630, 85.20605727, 0, -35.11275115, 9.558223332, 0, 40.97825458, 0.9872618642, 0, 0.159103776, 0, 0, 0.09300585679, 0
3660, 85.86412229, 0, -34.03121408, 9.325234076, 0, 41.28226131, 0.9870389398, 0, 0.1604809378, 0, 0, 0.0930058569, 0
3690, 86.52144974, 0, -32.94065253, 9.090618995, 0, 41.58535558, 0.9868140943, 0, 0.1618577872, 0, 0, 0.09300585699, 0
3720, 87.17804019, 0, -31.84106446, 8.854381373, 0, 41.8875307, 0.9865873282, 0, 0.1632343216, 0, 0, 0.09300585707, 0
3750, 87.83389419, 0, -30.7324478, 8.616524519, 0, 42.18877996, 0.986358642, 0, 0.1646105383, 0, 0, 0.09300585714, 0
3780, 88.48901228, 0, -29.61480049, 8.377051765, 0, 42.48909669, 0.9861280361, 0, 0.1659864346, 0, 0, 0.0930058572, 0
3810, 89.14339505, 0, -28.48812049, 8.135966471, 0, 42.78847422, 0.9858955109, 0, 0.1673620079, 0, 0, 0.09300585725, 0
3840, 89.79704305, 0, -27.35240574, 7.893272019, 0, 43.08690588, 0.9856610668, 0, 0.1687372554, 0, 0, 0.09300585729, 0
3870, 90.44995688, 0, -26.20765419, 7.648971816, 0, 43.38438504, 0.9854247044, 0, 0.1701121746, 0, 0, 0.09300585733, 0
3900, 91.1021371, 0, -25.0538638, 7.403069294, 0, 43.68090505, 0.9851864241, 0, 0.1714867626, 0, 0, 0.09300585736, 0
3930, 91.75358431, 0, -23.89103251, 7.155567911, 0, 43.9764593, 0.9849462264, 0, 0.1728610169, 0, 0, 0.09300585739, 0
3960, 92.4042991, 0, -22.71915828, 6.906471146, 0, 44.27104117, 0.9847041117, 0, 0.1742349348, 0, 0, 0.09300585741, 0
3990, 93.05428207, 0, -21.53823907, 6.655782506, 0, 44.56464406, 0.9844600804, 0, 0.1756085135, 0, 0, 0.09300585743, 0
4020, 93.70353383, 0, -20.34827283, 6.40350552, 0, 44.85726138, 0.9842141332, 0, 0.1769817505, 0, 0, 0.09300585745, 0
4050, 94.35205499, 0, -19.14925752, 6.149643742, 0, 45.14888657, 0.9839662704, 0, 0.178354643, 0, 0, 0.09300585746, 0
4080, 94.99984617, 0, -17.94119111, 5.89420075, 0, 45.43951304, 0.9837164926, 0, 0.1797271884, 0, 0, 0.09300585747, 0
4110, 95.64690798, 0, -16.72407155, 5.637180148, 0, 45.72913427, 0.9834648001, 0, 0.181099384, 0, 0, 0.09300585749, 0
4140, 96.29324106, 0, -15.49789682, 5.378585563, 0, 46.0177437, 0.9832111936, 0, 0.1824712271, 0, 0, 0.09300585749, 0
4170, 96.93884604, 0, -14.26266488, 5.118420645, 0, 46.3053348, 0.9829556735, 0, 0.1838427151, 0, 0, 0.0930058575, 0
4200, 97.58372355, 0, -13.01837369, 4.856689071, 0, 46.59190108, 0.9826982403, 0, 0.1852138453, 0, 0, 0.09300585751, 0
4230, 98.22787426, 0, -11.76502123, 4.593394539, 0, 46.87743601, 0.9824388945, 0, 0.186584615, 0, 0, 0.09300585752, 0
4260, 98.8712988, 0, -10.50260546, 4.328540773, 0, 47.16193312, 0.9821776366, 0, 0.1879550216, 0, 0, 0.09300585752, 0
4290, 99.51399783, 0, -9.231124373, 4.062131521, 0, 47.44538593, 0.9819144671, 0, 0.1893250623, 0, 0, 0.09300585752, 0
4320, 100.155972, 0, -7.950575931, 3.794170554, 0, 47.72778798, 0.9816493866, 0, 0.1906947346, 0, 0, 0.09300585753, 0
4350, 100.797222, 0, -6.660958113, 3.524661668, 0, 48.00913282, 0.9813823955, 0, 0.1920640357, 0, 0, 0.09300585753, 0
4380, 101.4377485, 0, -5.362268899, 3.253608682, 0, 48.289414, 0.9811134944, 0, 0.193432963, 0, 0, 0.09300585753, 0
4410, 102.0775522, 0, -4.054506271, 2.98101544, 0, 48.56862511, 0.9808426837, 0, 0.1948015139, 0, 0, 0.09300585754, 0
4440, 102.7166337, 0, -2.737668211, 2.706885808, 0, 48.84675974, 0.9805699641, 0, 0.1961696856, 0, 0, 0.09300585754, 0
4470, 103.3549938, 0, -1.411752704, 2.431223679, 0, 49.12381148, 0.980295336, 0, 0.1975374755, 0, 0, 0.09300585754, 0
4500, 103.9926332, 0, -0.07675773711, 2.154032965, 0, 49.39977395, 0.9800188, 0, 0.198904881, 0, 0, 0.09300585754, 0
